date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2025-10-03,1,1×DC50 + 4×DC350,0,1,0,4,503.37,346.85,2674.0,0.0,3524.22,1400.0,50.0,16,16,0,16,0,100.0,1682.5,2018.2,120.0,0.0,0.0435,optimal,True
2025-08-15,2,1×DC50 + 1×DC150 + 4×DC350,0,1,1,4,566.38,234.25,2674.0,0.0,3474.63,1400.0,0.0,10,10,0,10,0,100.0,1063.5,1428.8,134.3,0.0,0.0,optimal,True
2025-10-08,3,1×DC50 + 2×DC150 + 3×DC350,0,1,2,3,511.59,282.05,2578.5,0.0,3372.13,1350.0,50.0,14,13,1,14,0,100.0,1480.1,1766.2,119.3,0.0,0.0,optimal,True
2025-12-11,4,1×L2 + 1×DC50 + 2×DC150 + 3×DC350,1,1,2,3,519.94,393.66,2292.0,0.0,3205.6,1200.0,0.0,19,19,0,19,0,100.0,1956.1,2524.1,129.0,0.1,0.0385,optimal,True
2025-09-24,5,1×L2 + 2×DC50 + 2×DC150 + 3×DC350,1,2,2,3,552.13,583.65,1967.3,0.0,3103.08,1030.0,210.0,24,19,5,24,0,100.0,2978.2,3380.2,113.5,0.6,0.0422,optimal,True
2025-09-09,6,2×DC50 + 1×DC150 + 3×DC350,0,2,1,3,480.77,426.31,2120.1,0.0,3027.18,1110.0,0.0,20,18,2,20,0,100.0,2283.7,2596.5,113.7,0.1,0.0305,optimal,True
2025-09-04,7,1×L2 + 1×DC150 + 3×DC350,1,0,1,3,424.75,436.72,2139.2,0.0,3000.67,1120.0,0.0,20,18,2,20,0,100.0,2335.8,2818.4,120.7,1.4,0.0072,optimal,True
2025-10-16,8,2×L2 + 1×DC50 + 2×DC150 + 3×DC350,2,1,2,3,528.3,385.92,2079.99,0.0,2994.21,1089.0,70.0,19,16,3,19,0,100.0,1966.2,2217.2,112.8,1.3,0.0442,optimal,True
2025-11-04,9,1×DC50 + 1×DC150 + 3×DC350,0,1,1,3,448.58,359.89,2139.2,0.0,2947.67,1120.0,50.0,19,14,5,19,0,100.0,2048.0,2103.8,102.7,0.0,0.021,optimal,True
2026-01-08,10,1×L2 + 1×DC50 + 1×DC150 + 4×DC350,1,1,1,4,574.73,480.75,1871.8,0.0,2927.29,980.0,350.0,26,26,0,26,0,100.0,2240.4,2769.8,123.6,0.1,0.0389,optimal,True
2026-02-03,11,1×L2 + 1×DC150 + 3×DC350,1,0,1,3,424.75,439.91,2041.79,0.0,2906.45,1069.0,0.0,19,19,0,19,0,100.0,2028.6,2714.2,133.8,0.2,0.0128,optimal,False
2025-05-28,12,2×L2 + 2×DC50 + 3×DC350,2,2,0,3,434.47,462.36,2005.5,0.0,2902.33,1050.0,81.0,18,17,1,18,0,100.0,2134.7,2522.1,118.2,0.3,0.0217,optimal,False
