date,worst_day_rank,total_op_cost,config_label,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charger_type_used,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v01,7009929,GMC Hummer EV,06:52,07:52,1.0,107.2,157.5,0.0,full,DC_350kW,07:00,07:30,0.5,49.6,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v02,7018720,GMC Hummer EV,07:18,08:18,1.0,212.7,236.2,0.0,full,DC_350kW,07:30,08:15,0.75,0.0,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v03,7016023,Chevrolet Silverado EV WT,07:24,08:24,1.0,141.4,157.5,0.0,full,DC_350kW,07:30,08:00,0.5,29.3,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v04,7018720,GMC Hummer EV,07:27,08:27,1.0,106.8,157.5,0.0,full,DC_350kW,07:30,08:00,0.5,49.8,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v05,7015291,GMC Hummer EV,07:44,08:44,1.0,212.7,236.2,0.0,full,DC_350kW,07:45,08:30,0.75,0.0,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v06,7016561,Chevrolet Silverado EV WT,07:47,12:57,5.17,137.7,146.2,0.0,full,DC_50kW,09:15,12:30,3.25,31.1,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v07,7016539,Chevrolet Silverado EV WT,08:07,09:07,1.0,104.5,157.5,0.0,full,DC_350kW,08:30,09:00,0.5,47.7,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v08,7010045,Ford F-150 Lightning,11:01,12:01,1.0,65.8,67.5,0.0,full,DC_350kW,11:30,12:00,0.5,49.8,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v09,7009742,GMC Hummer EV,11:44,12:44,1.0,147.5,157.5,0.0,full,DC_350kW,12:00,12:30,0.5,30.7,100.0
2025-10-03,1,3524.22,1×DC50 + 4×DC350,z2z_20251003_v10,7016539,Chevrolet Silverado EV WT,12:36,13:36,1.0,104.6,157.5,0.0,full,DC_350kW,12:45,13:15,0.5,47.7,100.0
