date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2026-03-26,1,1×DC150 + 3×DC350,0,0,1,3,416.39,128.22,2292.0,0.0,2836.61,1200.0,0.0,6,6,0,6,0,100.0,650.0,832.5,128.1,0.0,0.0,optimal,True
2026-04-08,2,1×DC150 + 3×DC350,0,0,1,3,416.39,117.41,2292.0,0.0,2825.8,1200.0,0.0,5,5,0,5,0,100.0,512.0,675.0,131.8,0.0,0.0,optimal,True
2025-06-26,3,1×DC50 + 3×DC350,0,1,0,3,385.57,211.41,2005.5,0.0,2602.49,1050.0,0.0,10,8,2,10,0,100.0,1118.5,1355.6,121.2,0.0,0.0,optimal,True
2025-12-17,4,1×L2 + 3×DC350,1,0,0,3,361.74,212.73,2005.5,0.0,2579.97,1050.0,0.0,9,9,0,9,0,100.0,1054.6,1316.7,124.9,0.1,0.0115,optimal,True
2026-04-16,5,3×DC350,0,0,0,3,353.39,137.19,2005.5,0.0,2496.07,1050.0,0.0,7,6,1,7,0,100.0,744.6,864.0,116.0,0.0,0.0,optimal,True
2025-08-08,6,3×DC350,0,0,0,3,353.39,82.18,2005.5,0.0,2441.07,1050.0,0.0,3,3,0,3,0,100.0,376.7,472.5,125.4,0.0,0.0,optimal,True
2026-02-18,7,3×DC350,0,0,0,3,353.39,157.63,1738.1,0.0,2249.12,910.0,0.0,7,7,0,7,0,100.0,738.3,976.5,132.3,0.0,0.0,optimal,True
2026-04-07,8,1×DC150 + 2×DC350,0,0,1,2,298.6,261.23,1623.5,0.0,2183.32,850.0,0.0,11,10,1,11,0,100.0,1193.0,1563.8,131.1,0.0,0.0,optimal,True
2025-07-15,9,1×L2 + 3×DC350,1,0,0,3,361.74,148.96,1623.5,0.0,2134.2,850.0,20.0,6,6,0,6,0,100.0,736.8,918.0,124.6,0.0,0.0334,optimal,True
2026-04-14,10,1×DC150 + 2×DC350,0,0,1,2,298.6,161.43,1623.5,0.0,2083.53,850.0,0.0,7,7,0,7,0,100.0,769.0,990.0,128.7,0.0,0.0,optimal,True
2026-04-09,11,1×DC150 + 2×DC350,0,0,1,2,298.6,111.59,1623.5,0.0,2033.68,850.0,0.0,5,5,0,5,0,100.0,512.8,675.0,131.6,0.0,0.0,optimal,False
2025-07-07,12,1×DC50 + 1×DC150 + 2×DC350,0,1,1,2,330.79,197.55,1470.7,0.0,1999.03,770.0,0.0,7,6,1,7,0,100.0,1080.7,1206.0,111.6,0.1,0.0303,optimal,False
2026-03-25,13,1×L2 + 1×DC150 + 2×DC350,1,0,1,2,306.95,274.99,1337.0,0.0,1918.94,700.0,0.0,12,12,0,12,0,100.0,1279.6,1607.8,125.6,0.1,0.0228,optimal,False
2025-09-02,14,1×DC50 + 1×DC150 + 2×DC350,0,1,1,2,330.79,233.5,1337.0,0.0,1901.29,700.0,0.0,9,9,0,9,0,100.0,1149.2,1444.5,125.7,0.1,0.0195,optimal,False
2026-03-10,15,1×DC150 + 2×DC350,0,0,1,2,298.6,207.26,1356.1,0.0,1861.96,710.0,0.0,11,11,0,11,0,100.0,1036.5,1354.5,130.7,0.0,0.0,optimal,False
2025-09-18,16,1×DC50 + 2×DC350,0,1,0,2,267.78,186.09,1337.0,0.0,1790.87,700.0,0.0,7,7,0,7,0,100.0,956.0,1197.0,125.2,0.7,0.0221,optimal,False
2025-08-15,17,1×DC50 + 2×DC350,0,1,0,2,267.78,185.34,1337.0,0.0,1790.12,700.0,0.0,7,7,0,7,0,100.0,916.1,1089.0,118.9,0.0,0.0491,optimal,False
2025-06-24,18,1×DC150 + 2×DC350,0,0,1,2,298.6,191.94,1289.25,0.0,1779.79,675.0,0.0,9,7,2,9,0,100.0,1043.4,1262.2,121.0,0.0,0.0,optimal,False
2026-04-30,19,1×L2 + 2×DC350,1,0,0,2,243.95,178.19,1337.0,0.0,1759.14,700.0,150.0,7,7,0,7,0,100.0,715.5,901.6,126.0,0.1,0.025,optimal,False
2025-06-27,20,1×DC150 + 2×DC350,0,0,1,2,298.6,117.17,1337.0,0.0,1752.76,700.0,0.0,4,4,0,4,0,100.0,584.5,708.8,121.3,0.0,0.0,optimal,False
2025-06-30,21,2×DC350,0,0,0,2,235.59,180.04,1337.0,0.0,1752.63,700.0,0.0,7,5,2,7,0,100.0,927.9,1085.6,117.0,0.0,0.0,optimal,False
2026-04-28,22,2×DC350,0,0,0,2,235.59,172.35,1337.0,0.0,1744.94,700.0,0.0,8,8,0,8,0,100.0,823.9,1091.2,132.5,0.0,0.0,optimal,False
2026-03-12,23,1×L2 + 2×DC350,1,0,0,2,243.95,160.88,1337.0,0.0,1741.83,700.0,0.0,7,7,0,7,0,100.0,766.4,975.1,127.2,0.3,0.0205,optimal,False
2026-04-27,24,2×DC350,0,0,0,2,235.59,166.7,1337.0,0.0,1739.29,700.0,0.0,7,6,1,7,0,100.0,837.8,1010.2,120.6,0.0,0.0,optimal,False
2026-04-02,25,2×DC350,0,0,0,2,235.59,159.4,1337.0,0.0,1731.99,700.0,0.0,7,7,0,7,0,100.0,774.0,990.0,127.9,0.0,0.0,optimal,False
2026-01-07,26,2×DC350,0,0,0,2,235.59,159.26,1337.0,0.0,1731.85,700.0,0.0,7,7,0,7,0,100.0,742.3,976.5,131.5,0.0,0.0,optimal,False
2025-08-26,27,2×DC350,0,0,0,2,235.59,155.59,1337.0,0.0,1728.18,700.0,0.0,7,7,0,7,0,100.0,724.3,976.5,134.8,0.0,0.0,optimal,False
2025-08-02,28,2×DC350,0,0,0,2,235.59,144.01,1337.0,0.0,1716.6,700.0,0.0,6,6,0,6,0,100.0,677.6,945.0,139.5,0.0,0.0,optimal,False
2026-03-04,29,2×DC350,0,0,0,2,235.59,144.01,1337.0,0.0,1716.6,700.0,0.0,6,6,0,6,0,100.0,725.4,945.0,130.3,0.0,0.0,optimal,False
2025-09-23,30,2×DC350,0,0,0,2,235.59,141.19,1337.0,0.0,1713.78,700.0,0.0,6,6,0,6,0,100.0,665.0,882.0,132.6,0.0,0.0,optimal,False
2025-12-18,31,1×L2 + 1×DC50 + 2×DC350,1,1,0,2,276.13,251.93,1184.2,0.0,1712.26,620.0,0.0,10,9,1,10,0,100.0,1371.3,1580.9,115.3,0.7,0.0233,optimal,False
2025-07-31,32,2×DC350,0,0,0,2,235.59,134.31,1337.0,0.0,1706.9,700.0,0.0,6,6,0,6,0,100.0,659.3,819.0,124.2,0.0,0.0,optimal,False
2026-02-17,33,2×DC350,0,0,0,2,235.59,131.86,1337.0,0.0,1704.45,700.0,0.0,6,6,0,6,0,100.0,631.1,819.0,129.8,0.0,0.0,optimal,False
2025-09-17,34,2×DC350,0,0,0,2,235.59,124.76,1337.0,0.0,1697.35,700.0,0.0,5,5,0,5,0,100.0,580.1,787.5,135.7,0.0,0.0,optimal,False
2025-08-05,35,2×DC350,0,0,0,2,235.59,120.68,1337.0,0.0,1693.27,700.0,0.0,5,5,0,5,0,100.0,575.0,787.5,137.0,0.0,0.0,optimal,False
2025-05-29,36,1×DC50 + 2×DC350,0,1,0,2,267.78,86.63,1337.0,0.0,1691.4,700.0,0.0,4,4,0,4,0,100.0,498.4,585.0,117.4,0.0,0.0218,optimal,False
2026-01-14,37,2×DC350,0,0,0,2,235.59,117.87,1337.0,0.0,1690.46,700.0,0.0,5,5,0,5,0,100.0,583.4,724.5,124.2,0.0,0.0,optimal,False
2025-06-05,38,2×DC350,0,0,0,2,235.59,116.96,1337.0,0.0,1689.55,700.0,0.0,5,2,3,5,0,100.0,767.0,734.6,95.8,0.0,0.0,optimal,False
2025-11-04,39,2×DC350,0,0,0,2,235.59,112.32,1337.0,0.0,1684.91,700.0,0.0,4,4,0,4,0,100.0,502.8,645.8,128.4,0.0,0.0,optimal,False
2025-06-23,40,2×DC350,0,0,0,2,235.59,109.58,1337.0,0.0,1682.17,700.0,0.0,4,4,0,4,0,100.0,486.6,630.0,129.5,0.0,0.0,optimal,False
2025-08-04,41,2×DC350,0,0,0,2,235.59,109.58,1337.0,0.0,1682.17,700.0,0.0,4,4,0,4,0,100.0,528.5,630.0,119.2,0.0,0.0,optimal,False
2025-09-09,42,2×DC350,0,0,0,2,235.59,109.58,1337.0,0.0,1682.17,700.0,0.0,4,4,0,4,0,100.0,500.4,630.0,125.9,0.0,0.0,optimal,False
2025-11-14,43,1×DC150 + 2×DC350,0,0,1,2,298.6,198.56,1184.2,0.0,1681.35,620.0,0.0,8,5,3,8,0,100.0,1254.4,1244.2,99.2,0.0,0.0377,optimal,False
2025-08-11,44,2×DC350,0,0,0,2,235.59,98.62,1337.0,0.0,1671.21,700.0,0.0,4,4,0,4,0,100.0,444.9,567.0,127.4,0.0,0.0,optimal,False
2025-06-06,45,2×DC350,0,0,0,2,235.59,97.36,1337.0,0.0,1669.95,700.0,0.0,4,4,0,4,0,100.0,452.7,630.0,139.2,0.0,0.0,optimal,False
2025-08-25,46,2×DC350,0,0,0,2,235.59,94.55,1337.0,0.0,1667.14,700.0,0.0,4,4,0,4,0,100.0,422.0,567.0,134.4,0.0,0.0,optimal,False
2025-06-18,47,2×DC350,0,0,0,2,235.59,247.22,1184.2,0.0,1667.01,620.0,0.0,9,7,2,9,0,100.0,1375.0,1545.8,112.4,0.0,0.0,optimal,False
2025-12-31,48,2×DC350,0,0,0,2,235.59,86.4,1337.0,0.0,1658.99,700.0,0.0,4,4,0,4,0,100.0,455.8,567.0,124.4,0.0,0.0,optimal,False
