date,worst_day_rank,total_op_cost,config_label,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charger_type_used,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2026-03-26,1,2836.61,1×DC150 + 3×DC350,z2z_20260326_v01,7017123,GMC Hummer EV,05:19,06:19,1.0,146.8,157.5,0.0,full,DC_350kW,05:30,06:00,0.5,31.0,100.0
2026-03-26,1,2836.61,1×DC150 + 3×DC350,z2z_20260326_v02,7010734,Ford F-150 Lightning,10:25,11:25,1.0,78.8,101.2,0.0,full,DC_350kW,10:30,11:15,0.75,39.8,100.0
2026-03-26,1,2836.61,1×DC150 + 3×DC350,z2z_20260326_v03,7009656,Ford F-150 Lightning,13:22,14:22,1.0,78.0,101.2,0.0,full,DC_150kW,13:30,14:15,0.75,40.5,100.0
2026-03-26,1,2836.61,1×DC150 + 3×DC350,z2z_20260326_v04,7012016,GMC Hummer EV,13:27,14:27,1.0,117.8,157.5,0.0,full,DC_350kW,13:30,14:00,0.5,44.6,100.0
2026-03-26,1,2836.61,1×DC150 + 3×DC350,z2z_20260326_v05,7017045,GMC Hummer EV,13:28,14:28,1.0,110.4,157.5,0.0,full,DC_350kW,13:30,14:00,0.5,48.1,100.0
2026-03-26,1,2836.61,1×DC150 + 3×DC350,z2z_20260326_v06,7012108,GMC Hummer EV,13:29,14:29,1.0,118.2,157.5,0.0,full,DC_350kW,13:30,14:00,0.5,44.4,100.0
2026-04-08,2,2825.8,1×DC150 + 3×DC350,z2z_20260408_v01,7012108,GMC Hummer EV,14:00,15:00,1.0,123.9,157.5,0.0,full,DC_350kW,14:15,14:45,0.5,41.8,100.0
2026-04-08,2,2825.8,1×DC150 + 3×DC350,z2z_20260408_v02,7017045,GMC Hummer EV,14:08,15:08,1.0,121.1,157.5,0.0,full,DC_350kW,14:15,14:45,0.5,43.1,100.0
2026-04-08,2,2825.8,1×DC150 + 3×DC350,z2z_20260408_v03,7009656,Ford F-150 Lightning,14:13,15:13,1.0,78.6,101.2,0.0,full,DC_150kW,14:15,15:00,0.75,40.0,100.0
2026-04-08,2,2825.8,1×DC150 + 3×DC350,z2z_20260408_v04,7012016,GMC Hummer EV,14:14,15:14,1.0,117.8,157.5,0.0,full,DC_350kW,14:30,15:00,0.5,44.6,100.0
