date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2025-12-23,1,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,2,3,4,5,954.28,475.91,9745.54,15039.6,26215.33,1510.0,1510.0,27,23,4,27,0,100.0,3230.1,3749.9,116.1,3.2,0.0481,optimal,True
2025-09-18,2,1×L2 + 2×DC150 + 4×DC350,1,0,2,4,605.55,492.48,9287.31,14332.44,24717.78,1439.0,1439.0,22,20,2,22,0,100.0,2396.8,2826.4,117.9,0.4,0.0179,optimal,True
2026-01-15,3,1×L2 + 5×DC350,1,0,0,5,597.33,384.12,9164.68,14143.2,24289.34,1420.0,1420.0,22,16,6,22,0,100.0,2747.4,3035.2,110.5,0.1,0.0059,optimal,True
2025-12-03,4,1×L2 + 1×DC50 + 3×DC150 + 3×DC350,1,1,3,3,582.95,592.64,8900.07,13734.84,23810.49,1379.0,1379.0,35,27,8,35,0,100.0,4257.7,4772.7,112.1,1.7,0.0494,optimal,True
2025-09-08,5,1×L2 + 1×DC50 + 3×DC150 + 3×DC350,1,1,3,3,582.95,695.68,9094.98,11346.43,21720.03,1409.2,1139.2,34,29,5,34,0,100.0,3853.2,4411.1,114.5,0.2,0.0177,optimal,True
2025-10-14,6,1×L2 + 1×DC50 + 3×DC150 + 5×DC350,1,1,3,5,818.54,631.36,9681.0,9661.2,20792.1,1500.0,970.0,37,32,5,37,0,100.0,4482.8,5281.9,117.8,0.3,0.0133,optimal,True
2026-02-11,7,2×DC50 + 1×DC150 + 4×DC350,0,2,1,4,598.56,622.28,9293.76,10159.2,20673.81,1440.0,1020.0,37,30,7,37,0,100.0,5130.9,5762.2,112.3,3.2,0.0443,optimal,True
2026-02-12,8,1×DC50 + 2×DC150 + 3×DC350,0,1,2,3,511.59,526.46,7744.8,11653.2,20436.05,1200.0,1170.0,31,25,6,31,0,100.0,3828.5,4281.8,111.8,0.3,0.0486,optimal,True
2025-12-01,9,2×L2 + 3×DC50 + 3×DC150 + 4×DC350,2,3,3,4,773.48,381.01,8002.96,11155.2,20312.65,1240.0,1120.0,21,14,7,21,0,100.0,3031.5,3179.9,104.9,0.5,0.0418,optimal,True
2026-03-16,10,1×L2 + 1×DC50 + 4×DC350,1,1,0,4,511.72,485.79,7551.18,11653.2,20201.9,1170.0,1170.0,24,22,2,24,0,100.0,3410.1,3820.5,112.0,1.1,0.0418,optimal,True
2025-05-20,11,2×L2 + 2×DC50 + 1×DC150 + 4×DC350,2,2,1,4,615.28,627.15,8067.5,10856.4,20166.33,1250.0,1090.0,37,32,5,37,0,100.0,4513.8,4844.0,107.3,0.3,0.0061,optimal,False
2025-06-17,12,4×DC50 + 3×DC150 + 4×DC350,0,4,3,4,788.95,792.75,7228.48,11155.2,19965.38,1120.0,1120.0,36,29,7,36,0,100.0,4558.3,4900.5,107.5,0.8,0.0192,optimal,False
2026-02-02,13,2×DC50 + 4×DC350,0,2,0,4,535.56,319.13,7486.64,11553.6,19894.93,1160.0,1160.0,15,10,5,15,0,100.0,2305.1,2385.0,103.5,0.1,0.0045,optimal,False
2025-06-19,14,1×L2 + 3×DC50 + 1×DC150 + 4×DC350,1,3,1,4,639.11,508.8,7352.4,11346.43,19846.73,1139.2,1139.2,25,20,5,25,0,100.0,2763.7,2991.3,108.2,0.2,0.0282,optimal,False
2025-05-15,15,1×L2 + 1×DC50 + 3×DC150 + 3×DC350,1,1,3,3,582.95,458.7,9094.98,8358.43,18495.05,1409.2,839.2,29,24,5,29,0,100.0,3426.9,3926.5,114.6,0.7,0.0485,optimal,False
2025-05-14,16,1×L2 + 3×DC50 + 2×DC150 + 7×DC350,1,3,2,7,1055.5,517.98,8002.96,8864.4,18440.85,1240.0,890.0,32,28,4,32,0,100.0,3662.4,4202.0,114.7,0.2,0.0423,optimal,False
2025-07-17,17,2×DC50 + 4×DC150 + 6×DC350,0,2,4,6,1023.18,609.89,11746.28,4980.0,18359.35,1820.0,500.0,29,24,5,29,0,100.0,3724.2,4059.0,109.0,0.6,0.02,optimal,False
2026-04-14,18,1×L2 + 2×DC150 + 5×DC350,1,0,2,5,723.35,464.9,8067.5,9055.63,18311.38,1250.0,909.2,31,22,9,31,0,100.0,3790.4,4037.4,106.5,0.1,0.0304,optimal,False
2025-05-19,19,1×DC150 + 5×DC350,0,0,1,5,651.98,469.74,7422.1,9661.2,18205.02,1150.0,970.0,27,26,1,27,0,100.0,3190.5,3780.0,118.5,0.1,0.0332,optimal,False
2026-03-09,20,1×L2 + 1×DC50 + 2×DC150 + 4×DC350,1,1,2,4,637.74,388.93,10971.8,6175.2,18173.67,1700.0,620.0,23,20,3,23,0,100.0,2961.4,3409.7,115.1,0.1,0.0297,optimal,False
2025-10-13,21,1×DC50 + 2×DC150 + 4×DC350,0,1,2,4,629.38,597.74,6776.7,10159.2,18163.02,1050.0,1020.0,36,28,8,36,0,100.0,4348.0,5071.5,116.6,0.2,0.0325,optimal,False
2026-03-26,22,2×DC150 + 3×DC350,0,0,2,3,479.4,312.77,7422.1,9661.2,17875.47,1150.0,970.0,20,14,6,20,0,100.0,2335.9,2706.8,115.9,0.0,0.0,optimal,False
2026-03-25,23,1×DC50 + 1×DC150 + 3×DC350,0,1,1,3,448.58,438.53,6776.7,10159.2,17823.01,1050.0,1020.0,25,20,5,25,0,100.0,2965.5,3429.0,115.6,0.3,0.0358,optimal,False
2025-09-15,24,2×DC50 + 3×DC150 + 3×DC350,0,2,3,3,606.78,869.11,7680.26,8466.0,17622.15,1190.0,850.0,42,32,10,42,0,100.0,5208.9,5676.8,109.0,0.4,0.0428,optimal,False
2025-08-25,25,1×DC50 + 2×DC150 + 3×DC350,0,1,2,3,511.59,623.82,6454.0,9960.0,17549.41,1000.0,1000.0,30,24,6,30,0,100.0,3493.3,3901.5,111.7,0.3,0.0396,optimal,False
2026-01-06,26,1×L2 + 1×DC50 + 3×DC350,1,1,0,3,393.93,412.19,6583.08,10159.2,17548.4,1020.0,1020.0,25,22,3,25,0,100.0,2911.3,3469.6,119.2,3.2,0.0477,optimal,False
2026-03-11,27,1×DC50 + 3×DC150 + 3×DC350,0,1,3,3,574.59,332.95,6712.16,9661.2,17280.9,1040.0,970.0,20,16,4,20,0,100.0,2413.9,2668.5,110.5,0.1,0.0026,optimal,False
2026-02-10,28,1×DC50 + 1×DC150 + 3×DC350,0,1,1,3,448.58,421.15,7357.56,8864.4,17091.69,1140.0,890.0,25,18,7,25,0,100.0,3387.0,3584.2,105.8,0.2,0.0189,optimal,False
2025-11-24,29,1×DC50 + 2×DC150 + 5×DC350,0,1,2,5,747.18,350.56,6260.38,9661.2,17019.32,970.0,970.0,20,15,5,20,0,100.0,2927.9,3159.0,107.9,0.1,0.0426,optimal,False
2025-05-07,30,2×L2 + 2×DC150 + 3×DC350,2,0,2,3,496.11,574.32,6260.38,9661.2,16992.01,970.0,970.0,40,35,5,40,0,100.0,4250.9,5022.1,118.1,0.2,0.0017,optimal,False
2026-01-07,31,1×L2 + 1×DC50 + 2×DC150 + 3×DC350,1,1,2,3,519.94,413.75,9035.6,6972.0,16941.3,1400.0,700.0,25,23,2,25,0,100.0,2873.7,3526.7,122.7,0.3,0.0495,optimal,False
2025-06-05,32,1×DC50 + 2×DC150 + 2×DC350,0,1,2,2,393.79,569.87,6260.38,9661.2,16885.24,970.0,970.0,28,25,3,28,0,100.0,3120.9,3541.5,113.5,0.2,0.0493,optimal,False
2025-09-10,33,3×DC50 + 1×DC150 + 6×DC350,0,3,1,6,866.34,613.01,6841.24,8466.0,16786.6,1060.0,850.0,27,27,0,27,0,100.0,3357.3,4061.2,121.0,0.1,0.0421,optimal,False
2026-04-29,34,1×L2 + 2×DC50 + 3×DC350,1,2,0,3,426.12,345.07,6260.38,9661.2,16692.77,970.0,970.0,19,15,4,19,0,100.0,2583.7,2797.3,108.3,0.1,0.005,optimal,False
2026-03-24,35,2×DC150 + 3×DC350,0,0,2,3,479.4,502.97,7228.48,8466.0,16676.85,1120.0,850.0,30,24,6,30,0,100.0,3723.1,4189.5,112.5,0.1,0.0292,optimal,False
2025-12-22,36,1×L2 + 1×DC150 + 6×DC350,1,0,1,6,778.13,363.2,8390.2,6972.0,16503.53,1300.0,700.0,24,23,1,24,0,100.0,2457.3,3005.0,122.3,0.1,0.0176,optimal,False
2026-03-23,37,1×DC50 + 1×DC150 + 3×DC350,0,1,1,3,448.58,417.27,7163.94,8466.0,16495.79,1110.0,850.0,27,19,8,27,0,100.0,3217.2,3523.5,109.5,1.2,0.05,optimal,False
