date,worst_day_rank,total_op_cost,config_label,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charger_type_used,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v01,7016648,Chevrolet Silverado EV WT,07:04,08:04,1.0,106.3,157.5,0.0,full,DC_350kW,07:30,08:00,0.5,46.8,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v02,7014845,Tesla Model 3,07:09,08:09,1.0,44.2,56.2,0.0,full,DC_350kW,07:15,07:30,0.25,46.0,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v03,7016492,Ford F-150 Lightning,07:46,08:46,1.0,69.2,101.2,0.0,full,DC_350kW,08:00,08:45,0.75,47.2,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v04,7009504,Ford F-150 Lightning,07:52,08:52,1.0,65.7,67.5,0.0,full,DC_350kW,08:15,08:45,0.5,49.8,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v05,7014172,BYD 6F Cab-Forward Truck,08:08,09:08,1.0,91.9,81.0,10.9,partial,DC_150kW,08:15,09:00,0.75,49.8,94.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v06,7018609,GMC Hummer EV,08:17,09:17,1.0,118.6,157.5,0.0,full,DC_350kW,08:45,09:15,0.5,44.2,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v07,7018609,GMC Hummer EV,08:54,09:54,1.0,114.9,157.5,0.0,full,DC_350kW,09:15,09:45,0.5,46.0,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v08,7009648,Ford F-150 Lightning,08:55,09:55,1.0,71.4,101.2,0.0,full,DC_150kW,09:00,09:45,0.75,45.5,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v09,7016920,GMC Hummer EV,09:55,10:55,1.0,116.5,157.5,0.0,full,DC_350kW,10:00,10:30,0.5,45.2,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v10,7018609,GMC Hummer EV,10:26,11:26,1.0,134.7,157.5,0.0,full,DC_350kW,10:45,11:15,0.5,36.7,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v11,7011307,Chevrolet Silverado EV WT,10:45,11:45,1.0,116.9,157.5,0.0,full,DC_350kW,11:00,11:30,0.5,41.5,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v12,7009631,Ford F-150 Lightning,11:00,12:00,1.0,66.4,67.5,0.0,full,DC_350kW,11:15,11:45,0.5,49.3,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v13,7018609,GMC Hummer EV,11:15,12:15,1.0,108.8,157.5,0.0,full,DC_350kW,11:30,12:00,0.5,48.8,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v14,7014236,GMC Hummer EV,11:23,13:42,242.33,108.9,111.2,0.0,full,L2_19p2kW,07:00,13:30,6.5,48.8,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v15,7011970,GMC Hummer EV,11:42,12:42,1.0,168.5,236.2,0.0,full,DC_350kW,11:45,12:30,0.75,20.8,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v16,7002439,Ford F-150 Lightning,14:04,15:04,1.0,68.1,101.2,0.0,full,DC_350kW,14:15,15:00,0.75,48.0,100.0
2025-12-23,1,26215.33,2×L2 + 3×DC50 + 4×DC150 + 5×DC350,z2z_20251223_v17,7009631,Ford F-150 Lightning,14:15,15:15,1.0,68.0,101.2,0.0,full,DC_350kW,14:30,15:15,0.75,48.1,100.0
