date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2026-01-29,1,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,1,2,6,10,1628.73,1903.99,19961.5,0.0,23494.22,4150.0,1420.0,77,69,8,77,0,100.0,9521.6,10977.5,115.3,14.1,0.0051,optimal,True
2025-05-14,2,2×L2 + 2×DC50 + 5×DC150 + 9×DC350,2,2,5,9,1456.28,1917.47,17941.3,0.0,21315.05,3730.0,849.0,90,82,8,90,0,100.0,10381.8,12149.0,117.0,13.6,0.0049,optimal,True
2026-01-06,3,2×L2 + 1×DC50 + 5×DC150 + 10×DC350,2,1,5,10,1541.89,1656.01,18088.97,0.0,21286.86,3760.7,431.0,78,67,11,78,0,100.0,9426.0,11023.1,116.9,0.7,0.0328,optimal,True
2025-11-20,4,1×L2 + 1×DC50 + 4×DC150 + 9×DC350,1,1,4,9,1352.73,1974.27,17893.2,0.0,21220.2,3720.0,1450.0,78,73,5,78,0,100.0,9321.2,11552.1,123.9,3.8,0.0001,optimal,True
2025-11-12,5,1×L2 + 1×DC50 + 5×DC150 + 9×DC350,1,1,5,9,1415.74,1460.19,17852.31,0.0,20728.24,3711.5,412.0,69,60,9,69,0,100.0,7782.3,9513.8,122.2,1.3,0.0445,optimal,True
2026-01-07,6,3×L2 + 1×DC50 + 3×DC150 + 11×DC350,3,1,3,11,1542.02,2019.16,16986.51,0.0,20547.69,3531.5,741.0,93,85,8,93,0,100.0,11005.9,13177.3,119.7,7.7,0.0156,optimal,True
2025-12-02,7,1×L2 + 1×DC50 + 4×DC150 + 10×DC350,1,1,4,10,1470.52,1648.51,17395.36,0.0,20514.4,3616.5,632.0,79,73,6,79,0,100.0,8920.8,10846.6,121.6,0.3,0.0099,optimal,True
2025-12-05,8,1×L2 + 1×DC50 + 2×DC150 + 10×DC350,1,1,2,10,1344.51,1432.27,17371.31,0.0,20148.09,3611.5,762.0,65,57,8,65,0,100.0,7633.1,9309.8,122.0,0.2,0.0171,optimal,True
2025-12-15,9,2×L2 + 1×DC50 + 2×DC150 + 11×DC350,2,1,2,11,1470.66,1865.71,16738.8,0.0,20075.17,3480.0,710.0,83,75,8,83,0,100.0,10563.2,12401.0,117.4,3.3,0.0133,optimal,True
2026-04-08,10,1×DC50 + 7×DC150 + 7×DC350,0,1,7,7,1297.8,2072.24,16498.3,0.0,19868.34,3430.0,920.0,100,91,9,100,0,100.0,10882.4,13316.6,122.4,0.6,0.0001,optimal,True
2025-08-05,11,2×L2 + 1×DC50 + 3×DC150 + 9×DC350,2,1,3,9,1298.08,1893.33,16257.8,0.0,19449.21,3380.0,1500.0,90,78,12,90,0,100.0,10366.7,12085.9,116.6,1.5,0.0028,optimal,False
2026-01-30,12,1×DC50 + 2×DC150 + 9×DC350,0,1,2,9,1218.36,1396.99,16594.5,0.0,19209.85,3450.0,500.0,61,55,6,61,0,100.0,7807.0,9420.8,120.7,0.4,0.0482,optimal,False
2025-08-12,13,3×L2 + 1×DC50 + 7×DC150 + 7×DC350,3,1,7,7,1322.87,1649.04,16161.6,0.0,19133.51,3360.0,1270.0,79,73,6,79,0,100.0,8910.5,10876.1,122.1,20.5,0.0029,optimal,False
2026-01-21,14,1×L2 + 2×DC50 + 6×DC150 + 7×DC350,1,2,6,7,1275.34,2099.96,15591.61,0.0,18966.91,3241.5,1662.0,89,78,11,89,0,100.0,10287.1,12441.1,120.9,0.2,0.0365,optimal,False
2025-09-29,15,2×DC50 + 4×DC150 + 9×DC350,0,2,4,9,1376.56,1782.13,15752.75,0.0,18911.45,3275.0,700.0,78,73,5,78,0,100.0,9191.5,11431.1,124.4,0.2,0.0416,optimal,False
