date,worst_day_rank,total_op_cost,config_label,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charger_type_used,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v01,7010607,GMC Hummer EV,00:47,01:47,1.0,128.3,157.5,0.0,full,DC_350kW,01:00,01:30,0.5,39.7,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v02,7009414,Ford F-150 Lightning,03:17,04:17,1.0,95.4,101.2,0.0,full,DC_150kW,03:30,04:15,0.75,27.1,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v03,7010607,GMC Hummer EV,03:55,04:55,1.0,126.9,157.5,0.0,full,DC_350kW,04:00,04:30,0.5,40.3,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v04,7015557,Chevrolet Silverado EV WT,06:17,07:17,1.0,108.9,157.5,0.0,full,DC_350kW,06:45,07:15,0.5,45.5,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v05,7015745,Chevrolet Silverado EV WT,06:53,07:53,1.0,108.1,157.5,0.0,full,DC_350kW,07:00,07:30,0.5,46.0,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v06,7016469,Ford F-150 Lightning,07:21,08:21,1.0,81.7,101.2,0.0,full,DC_350kW,07:30,08:15,0.75,37.7,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v07,7010748,Ford F-150 Lightning,07:22,08:22,1.0,65.6,67.5,0.0,full,DC_150kW,07:30,08:00,0.5,49.9,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v08,7016991,GMC Hummer EV,07:29,08:29,1.0,189.4,236.2,0.0,full,DC_350kW,07:30,08:15,0.75,11.0,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v09,7009517,Ford F-150 Lightning,07:33,08:33,1.0,65.8,67.5,0.0,full,DC_350kW,07:45,08:15,0.5,49.8,100.0
2026-01-29,1,23494.22,1×L2 + 2×DC50 + 6×DC150 + 10×DC350,z2z_20260129_v10,7004863,Ford F-150 Lightning,07:36,08:36,1.0,65.7,67.5,0.0,full,DC_150kW,07:45,08:15,0.5,49.9,100.0
